ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","4100","Notavailable","20.9","21.1","0.21",
"C73","Thyroid","653","Notavailable","3.3","3.4","0.03",
"C91-95","Leukaemia","527","Notavailable","2.7","2.7","0.03",
"C50","Breast","440","Notavailable","4.6","4.7","0.05",
"C82-86, C96","Non-Hodgkinlymphoma","239","Notavailable","1.2","1.2","0.01",
"C56","Ovary","225","Notavailable","2.3","2.4","0.02",
"C53","Cervixuteri","185","Notavailable","1.9","2.0","0.02",
"C11","Nasopharynx","159","Notavailable","0.81","0.82","0.01",
"C70-72","Brain,centralnervoussystem","157","Notavailable","0.80","0.80","0.01",
"C81","Hodgkinlymphoma","146","Notavailable","0.75","0.74","0.01",
"C33-34","Lung","132","Notavailable","0.67","0.68","0.01",
"C18","Colon","126","Notavailable","0.64","0.65","0.01",
"C22","Liver","96","Notavailable","0.49","0.49","0.00",
"C19-20","Rectum","92","Notavailable","0.47","0.47","0.00",
"C62","Testis","82","Notavailable","0.82","0.82","0.01",
"C54","Corpusuteri","54","Notavailable","0.56","0.57","0.01",
"C00-06","Lip,oralcavity","45","Notavailable","0.23","0.23","0.00",
"C64-65","Kidney","40","Notavailable","0.20","0.21","0.00",
"C16","Stomach","36","Notavailable","0.18","0.19","0.00",
"C25","Pancreas","30","Notavailable","0.15","0.16","0.00",
"C07-08","Salivaryglands","23","Notavailable","0.12","0.12","0.00",
"C67","Bladder","22","Notavailable","0.11","0.11","0.00",
"C43","Melanomaofskin","14","Notavailable","0.07","0.07","0.00",
"C15","Oesophagus","8","Notavailable","0.04","0.04","0.00",
"C88+C90","Multiplemyeloma","6","Notavailable","0.03","0.03","0.00",
"C32","Larynx","5","Notavailable","0.03","0.03","0.00",
"C61","Prostate","3","Notavailable","0.03","0.03","0.00",
"C09-10","Oropharynx","3","Notavailable","0.02","0.02","0.00",
"C21","Anus","3","Notavailable","0.02","0.02","0.00",
"C51","Vulva","2","Notavailable","0.02","0.02","0.00",
"C23","Gallbladder","1","Notavailable","0.01","0.01","0.00",
"C12-13","Hypopharynx","1","Notavailable","0.01","0.01","0.00",
"C52","Vagina","1","Notavailable","0.01","0.01","0.00",
