ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","9711","Notavailable","62.6","63.7","0.63",
"C50","Breast","2746","Notavailable","35.7","36.4","0.36",
"C53","Cervixuteri","1057","Notavailable","13.7","14.0","0.14",
"C73","Thyroid","1018","Notavailable","6.6","6.6","0.07",
"C56","Ovary","587","Notavailable","7.6","7.7","0.08",
"C91-95","Leukaemia","433","Notavailable","2.8","2.8","0.03",
"C22","Liver","392","Notavailable","2.5","2.6","0.03",
"C11","Nasopharynx","386","Notavailable","2.5","2.5","0.03",
"C33-34","Lung","328","Notavailable","2.1","2.2","0.02",
"C82-86, C96","Non-Hodgkinlymphoma","297","Notavailable","1.9","1.9","0.02",
"C18","Colon","288","Notavailable","1.9","1.9","0.02",
"C54","Corpusuteri","266","Notavailable","3.5","3.5","0.04",
"C19-20","Rectum","222","Notavailable","1.4","1.5","0.01",
"C70-72","Brain,centralnervoussystem","183","Notavailable","1.2","1.2","0.01",
"C16","Stomach","115","Notavailable","0.74","0.75","0.01",
"C64-65","Kidney","85","Notavailable","0.55","0.57","0.01",
"C25","Pancreas","73","Notavailable","0.47","0.47","0.00",
"C62","Testis","70","Notavailable","0.90","0.89","0.01",
"C81","Hodgkinlymphoma","68","Notavailable","0.44","0.43","0.00",
"C00-06","Lip,oralcavity","67","Notavailable","0.43","0.44","0.00",
"C67","Bladder","63","Notavailable","0.41","0.41","0.00",
"C07-08","Salivaryglands","54","Notavailable","0.35","0.35","0.00",
"C15","Oesophagus","26","Notavailable","0.17","0.17","0.00",
"C32","Larynx","24","Notavailable","0.15","0.16","0.00",
"C88+C90","Multiplemyeloma","22","Notavailable","0.14","0.14","0.00",
"C43","Melanomaofskin","20","Notavailable","0.13","0.13","0.00",
"C23","Gallbladder","16","Notavailable","0.10","0.11","0.00",
"C21","Anus","16","Notavailable","0.10","0.10","0.00",
"C60","Penis","16","Notavailable","0.20","0.21","0.00",
"C09-10","Oropharynx","13","Notavailable","0.08","0.08","0.00",
"C61","Prostate","7","Notavailable","0.09","0.09","0.00",
"C51","Vulva","4","Notavailable","0.05","0.05","0.00",
"C52","Vagina","4","Notavailable","0.05","0.06","0.00",
"C45","Mesothelioma","4","Notavailable","0.03","0.03","0.00",
"C46","Kaposisarcoma","4","Notavailable","0.03","0.03","0.00",
"C12-13","Hypopharynx","1","Notavailable","0.01","0.01","0.00",
