ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97/C44","Allcancersexcl.non-melanomaskincancer","33103","Notavailable","353.4","352.2","3.53",
"C50","Breast","7397","Notavailable","155.7","155.4","1.55",
"C33-34","Lung","3978","Notavailable","42.5","42.2","0.44",
"C22","Liver","2282","Notavailable","24.4","24.3","0.25",
"C18","Colon","2217","Notavailable","23.7","23.6","0.24",
"C53","Cervixuteri","2169","Notavailable","45.6","45.6","0.46",
"C54","Corpusuteri","1488","Notavailable","31.3","31.2","0.32",
"C56","Ovary","1428","Notavailable","30.0","30.0","0.30",
"C73","Thyroid","1357","Notavailable","14.5","14.5","0.15",
"C19-20","Rectum","1321","Notavailable","14.1","14.0","0.14",
"C82-86, C96","Non-Hodgkinlymphoma","769","Notavailable","8.2","8.2","0.08",
"C11","Nasopharynx","709","Notavailable","7.6","7.6","0.08",
"C25","Pancreas","654","Notavailable","7.0","7.0","0.07",
"C61","Prostate","638","Notavailable","13.8","13.7","0.15",
"C64-65","Kidney","606","Notavailable","6.5","6.4","0.07",
"C16","Stomach","603","Notavailable","6.4","6.4","0.07",
"C91-95","Leukaemia","591","Notavailable","6.3","6.3","0.06",
"C00-06","Lip,oralcavity","370","Notavailable","4.0","3.9","0.04",
"C32","Larynx","357","Notavailable","3.8","3.8","0.04",
"C70-72","Brain,centralnervoussystem","328","Notavailable","3.5","3.5","0.04",
"C67","Bladder","265","Notavailable","2.8","2.8","0.03",
"C15","Oesophagus","255","Notavailable","2.7","2.7","0.03",
"C88+C90","Multiplemyeloma","182","Notavailable","1.9","1.9","0.02",
"C09-10","Oropharynx","159","Notavailable","1.7","1.7","0.02",
"C07-08","Salivaryglands","130","Notavailable","1.4","1.4","0.01",
"C43","Melanomaofskin","77","Notavailable","0.82","0.82","0.01",
"C21","Anus","58","Notavailable","0.62","0.62","0.01",
"C81","Hodgkinlymphoma","55","Notavailable","0.59","0.58","0.01",
"C23","Gallbladder","50","Notavailable","0.53","0.53","0.01",
"C12-13","Hypopharynx","41","Notavailable","0.44","0.43","0.00",
"C60","Penis","37","Notavailable","0.80","0.80","0.01",
"C62","Testis","34","Notavailable","0.74","0.74","0.01",
"C52","Vagina","30","Notavailable","0.63","0.64","0.01",
"C51","Vulva","26","Notavailable","0.55","0.55","0.01",
"C45","Mesothelioma","17","Notavailable","0.18","0.18","0.00",
"C46","Kaposisarcoma","2","Notavailable","0.02","0.02","0.00",
